Name,Year,Genre,Director,Writers,Rating,Liked,Acting,Story,Music
Reservoir Dogs,1992,"Crime, Thriller",,Quentin Tarantino,4.5,Yes,4.5,4.5,4
Home Alone,1990,"Comedy, Family",Raja Gosnell,John Hughes,4,Yes,4,4.5,4
The Dark Knight Rises,2012,"Action, Crime, Drama, Thriller",,"David S. Goyer, Jonathan Nolan, Christopher Nolan, Bob Kane",4,Yes,4,4.5,4
The Lord of the Rings: The Two Towers,2002,"Adventure, Fantasy, Action",Peter Jackson,"Fran Walsh, Philippa Boyens, Stephen Sinclair, Peter Jackson",5,Yes,5,5,5
"The French Dispatch of the Liberty, Kansas Evening Sun",2021,"Drama, Comedy",,"Wes Anderson, Roman Coppola, Jason Schwartzman, Hugo Guinness",3.5,Yes,3.5,3.5,3
Asteroid City,2023,"Comedy, Drama",Wes Anderson,"Wes Anderson, Roman Coppola",4.5,Yes,4.5,4.5,4
Captain America: The Winter Soldier,2014,"Action, Adventure, Science Fiction",,"Stephen McFeely, Christopher Markus",3,Yes,3,3.5,3
Spider-Man 2,2004,"Action, Adventure, Science Fiction",Sam Raimi,Alvin Sargent,5,Yes,5,5,5
Batman Begins,2005,"Drama, Crime, Action",,"Christopher Nolan, Bob Kane, David S. Goyer",4.5,Yes,4.5,4.5,4
Harry Potter and the Goblet of Fire,2005,"Adventure, Fantasy",Mike Newell,Steve Kloves,4,Yes,4,4.5,4
Harry Potter and the Chamber of Secrets,2002,"Adventure, Fantasy",,Steve Kloves,4.5,Yes,4.5,4.5,4
Avengers: Age of Ultron,2015,"Action, Adventure, Science Fiction",Joss Whedon,"Joss Whedon, Jim Starlin, Joe Simon, Jack Kirby",4,Yes,4,4.5,4
Return of the Jedi,1983,"Adventure, Action, Science Fiction",,"George Lucas, Lawrence Kasdan",4,Yes,4,4.5,4
Harry Potter and the Deathly Hallows: Part 2,2011,"Adventure, Fantasy",David Yates,Steve Kloves,4.5,Yes,4.5,4.5,4
Schindler's List,1993,"Drama, History, War",,Steven Zaillian,5,Yes,5,5,5
Jaws,1975,"Horror, Thriller, Adventure, Comedy",Bruno Mattei,"Robert Feen, Linda Morrison, Bruno Mattei, Peter Benchley",4,Yes,4,4.5,4
The Departed,2006,"Drama, Thriller, Crime",,William Monahan,5,Yes,5,5,5
Star Wars: The Last Jedi,2017,"Adventure, Action, Science Fiction",Rian Johnson,"George Lucas, Rian Johnson",3,Yes,3,3.5,3
Black Widow,2021,"Action, Adventure, Science Fiction",,"Eric Pearson, Jac Schaeffer, Ned Benson",2,No,2,2.5,2
Star Wars: Episode III ‚Äì¬†Revenge of the Sith,2005,Documentary,Tippy Bushkin,Unknown,4.5,Yes,4.5,4.5,4
The Martian,2015,"Science Fiction, Drama, Adventure",,Drew Goddard,5,Yes,5,5,5
Moonrise Kingdom,2012,"Comedy, Drama, Romance",Wes Anderson,"Wes Anderson, Roman Coppola",3.5,Yes,3.5,3.5,3
Harry Potter and the Order of the Phoenix,2007,"Adventure, Fantasy",,Michael Goldenberg,4,Yes,4,4.5,4
Ant-Man,2015,"Science Fiction, Adventure, Action",Peyton Reed,"Edgar Wright, Joe Cornish, Adam McKay, Paul Rudd",3.5,Yes,3.5,3.5,3
Logan,2017,"Action, Drama, Science Fiction",,"James Mangold, Michael Green, Scott Frank",4.5,Yes,4.5,4.5,4
Clueless,1995,"Comedy, Romance",Amy Heckerling,Amy Heckerling,3,Yes,3,3.5,3
Captain America: The First Avenger,2011,"Action, Adventure, Science Fiction",,"Christopher Markus, Stephen McFeely",3.5,Yes,3.5,3.5,3
The Godfather Part II,1974,"Drama, Crime",Francis Ford Coppola,"Mario Puzo, Francis Ford Coppola",5,Yes,5,5,5
Ferris Bueller's Day Off,1986,Comedy,,John Hughes,3.5,Yes,3.5,3.5,3
Harry Potter and the Half-Blood Prince,2009,"Adventure, Fantasy",David Yates,Steve Kloves,4.5,Yes,4.5,4.5,4
Harry Potter and the Deathly Hallows: Part 1,2010,"Adventure, Fantasy",,Steve Kloves,3,Yes,3,3.5,3
Saving Private Ryan,1998,"War, Drama, History",Steven Spielberg,Robert Rodat,5,Yes,5,5,5
Shrek 2,2004,"Animation, Family, Comedy, Fantasy, Romance",,"Andrew Adamson, Joe Stillman, J. David Stem, David N. Weiss, Ted Elliott, Terry Rossio, Roger S.H. Schulman",4.5,Yes,4.5,4.5,4
The Amazing Spider-Man,2012,"Action, Adventure, Science Fiction",Marc Webb,"James Vanderbilt, Alvin Sargent, Steve Kloves, Steve Ditko, Stan Lee",4,Yes,4,4.5,4
12 Angry Men,1957,Drama,,Reginald Rose,5,Yes,5,5,5
Star Wars: Episode I ‚Äì The Phantom Menace,1999,"Adventure, Action, Science Fiction",George Lucas,George Lucas,3,No,3,3.5,3
Pirates of the Caribbean: The Curse of the Black Pearl,2003,"Adventure, Fantasy, Action",,"Terry Rossio, Ted Elliott",3,Yes,3,3.5,3
Star Wars: The Rise of Skywalker,2019,"Adventure, Action, Science Fiction",J.J. Abrams,"J.J. Abrams, Chris Terrio, Colin Trevorrow, George Lucas, Derek Connolly",3.5,Yes,3.5,3.5,3
Raiders of the Lost Ark,1981,"Adventure, Action",,"Philip Kaufman, George Lucas, Lawrence Kasdan",3.5,Yes,3.5,3.5,3
Deadpool 2,2018,"Action, Comedy, Adventure",David Leitch,"Paul Wernick, Ryan Reynolds, Rhett Reese",3.5,Yes,3.5,3.5,3
Zootopia,2016,"Animation, Family, Mystery, Adventure, Comedy",,Jared Bush,4.5,Yes,4.5,4.5,4
Iron Man 3,2013,"Action, Adventure, Science Fiction",Shane Black,"Shane Black, Drew Pearce",3.5,Yes,3.5,3.5,3
Star Wars: Episode II ‚Äì¬†Attack of the Clones,2002,"Adventure, Action, Science Fiction",,"Jonathan Hales, George Lucas",3.5,Yes,3.5,3.5,3
Spider-Man 3,2007,"Action, Adventure, Science Fiction",Sam Raimi,"Alvin Sargent, Sam Raimi, Ivan Raimi",4,Yes,4,4.5,4
Kingsman: The Secret Service,2014,"Crime, Comedy, Action, Adventure",,"Dave Gibbons, Mark Millar, Jane Goldman, Matthew Vaughn",3.5,Yes,3.5,3.5,3
Big Hero 6,2014,"Adventure, Family, Animation, Action, Comedy",Chris Williams,"Duncan Rouleau, Steven T. Seagle, Robert L. Baird, Daniel Gerson, Jordan Roberts, Joseph Mateo, Joe Casey, Joe Kelly",3.5,Yes,3.5,3.5,3
Vertigo,1958,"Mystery, Romance, Thriller",,"Samuel A. Taylor, Alec Coppel",3,No,3,3.5,3
Frozen,2013,"Animation, Family, Adventure, Fantasy",Chris Buck,"Jennifer Lee, Chris Buck, Shane Morris",4,Yes,4,4.5,4
Charlie and the Chocolate Factory,2005,"Adventure, Comedy, Family, Fantasy",,John August,3,Yes,3,3.5,3
The Conjuring,2013,"Horror, Thriller",James Wan,"Carey Hayes, Chad Hayes",4,Yes,4,4.5,4
The Fabelmans,2022,Drama,,"Tony Kushner, Steven Spielberg",4.5,Yes,4.5,4.5,4
E.T. the Extra-Terrestrial,1982,"Science Fiction, Adventure, Family, Fantasy",Steven Spielberg,Melissa Mathison,4,No,4,4.5,4
The Holdovers,2023,"Drama, Comedy",,David Hemingson,4,Yes,4,4.5,4
The Exorcist,1973,"Horror, Drama",William Friedkin,William Peter Blatty,3,No,3,3.5,3
How to Train Your Dragon,2010,"Fantasy, Family, Action, Adventure",,"Dean DeBlois, William Davies",4,Yes,4,4.5,4
When Harry Met Sally...,1989,"Comedy, Romance, Drama",Rob Reiner,Nora Ephron,3.5,Yes,3.5,3.5,3
Ocean's Eleven,2001,"Thriller, Crime",,Ted Griffin,4,Yes,4,4.5,4
The Hangover,2009,Comedy,Todd Phillips,"Jon Lucas, Scott Moore",4,Yes,4,4.5,4
The Sixth Sense,1999,"Mystery, Thriller, Drama",,M. Night Shyamalan,2.5,No,2.5,2.5,2
Ant-Man and the Wasp,2018,"Action, Adventure, Science Fiction",Peyton Reed,"Erik Sommers, Gabriel Ferrari, Paul Rudd, Chris McKenna, Andrew Barrer",3,No,3,3.5,3
The Big Short,2015,"Comedy, Drama",,"Adam McKay, Charles Randolph",3.5,Yes,3.5,3.5,3
The Imitation Game,2014,"History, Drama, Thriller, War",Morten Tyldum,Graham Moore,4,Yes,4,4.5,4
Cars,2006,"Animation, Adventure, Comedy, Family",,"Dan Fogelman, Joe Ranft, J¯rgen Klubien, Phil Lorin, John Lasseter, Kiel Murray",3,Yes,3,3.5,3
Free Guy,2021,"Comedy, Adventure, Science Fiction",Shawn Levy,"Matt Lieberman, Zak Penn",3.5,Yes,3.5,3.5,3
The Amazing Spider-Man 2,2014,"Action, Adventure, Science Fiction",,"Alex Kurtzman, Roberto Orci, Jeff Pinkner, James Vanderbilt",4.5,Yes,4.5,4.5,4
Top Gun,1986,"Action, Drama, Romance",Tony Scott,"Jim Cash, Jack Epps Jr.",4,Yes,4,4.5,4
Ant-Man and the Wasp: Quantumania,2023,"Action, Adventure, Science Fiction",,"Jeff Loveness, Larry Lieber, Ernie Hart, Stan Lee, Jack Kirby",2.5,No,2.5,2.5,2
It Chapter Two,2019,"Horror, Thriller, Drama",Andy Muschietti,Gary Dauberman,4,Yes,4,4.5,4
Ready Player One,2018,"Adventure, Action, Science Fiction",,"Zak Penn, Ernest Cline",3.5,Yes,3.5,3.5,3
Snowpiercer,2013,"Action, Science Fiction, Drama",Bong Joon Ho,"Bong Joon Ho, Kelly Masterson",4,Yes,4,4.5,4
Kung Fu Panda,2008,"Animation, Family, Drama, Comedy, Action",,"Glenn Berger, Jonathan Aibel, Cyrus Voris, Ethan Reiff",5,Yes,5,5,5
Love Actually,2003,"Comedy, Romance, Drama",Richard Curtis,Richard Curtis,4.5,Yes,4.5,4.5,4
No Time to Die,2021,"Action, Thriller, Adventure",,"Ian Fleming, Cary Joji Fukunaga, Robert Wade, Neal Purvis, Phoebe Waller-Bridge",3.5,Yes,3.5,3.5,3
Ready or Not,2019,"Horror, Comedy",Tyler Gillett,"Guy Busick, R. Christopher Murphy",4,Yes,4,4.5,4
A Quiet Place Part II,2020,"Science Fiction, Thriller, Horror",,"John Krasinski, Bryan Woods, Scott Beck",3.5,Yes,3.5,3.5,3
Ford v Ferrari,2019,"Drama, Action, History",James Mangold,"Jez Butterworth, John-Henry Butterworth, Jason Keller",5,Yes,5,5,5
Fantastic Beasts and Where to Find Them,2016,"Fantasy, Adventure",,J.K. Rowling,3,Yes,3,3.5,3
Skyfall,2012,"Action, Adventure, Thriller",Sam Mendes,"Ian Fleming, Robert Wade, Neal Purvis, John Logan",5,Yes,5,5,5
Jurassic World,2015,"Science Fiction, Adventure, Action",,"David Koepp, Michael Crichton",3.5,Yes,3.5,3.5,3
Another Round,2020,"Comedy, Drama",Thomas Vinterberg,"Tobias Lindholm, Thomas Vinterberg",4,Yes,4,4.5,4
Squid Game,2021,Documentary,,Unknown,4,Yes,4,4.5,4
Mission: Impossible ‚Äì Dead Reckoning,2023,"Action, Thriller, Adventure",Christopher McQuarrie,"Christopher McQuarrie, Erik Jendresen",4.5,Yes,4.5,4.5,4
Terminator 2: Judgment Day,1991,"Action, Thriller, Science Fiction",,"James Cameron, William Wisher, Gale Anne Hurd",4.5,Yes,4.5,4.5,4
Ghostbusters,1984,"Comedy, Fantasy",Ivan Reitman,"Harold Ramis, Dan Aykroyd",4,Yes,4,4.5,4
Groundhog Day,1993,"Romance, Fantasy, Comedy",,"Danny Rubin, Harold Ramis",3,Yes,3,3.5,3
Back to the Future Part II,1989,"Adventure, Comedy, Science Fiction",Robert Zemeckis,"Bob Gale, Robert Zemeckis",5,Yes,5,5,5
Casino Royale,2006,"Adventure, Action, Thriller",,"Robert Wade, Neal Purvis, Paul Haggis",5,Yes,5,5,5
Life of Pi,2012,"Adventure, Drama",Ang Lee,David Magee,4,Yes,4,4.5,4
Indiana Jones and the Last Crusade,1989,"Adventure, Action",,"Philip Kaufman, George Lucas, Jeffrey Boam, Menno Meyjes",4,Yes,4,4.5,4
WandaVision,2021,Not Found,Not Found,Not Found,3,Yes,3,3.5,3
The Hobbit: An Unexpected Journey,2012,"Adventure, Fantasy, Action",,"Fran Walsh, Philippa Boyens, Peter Jackson, Guillermo del Toro",4,Yes,4,4.5,4
Now You See Me,2013,"Thriller, Crime",Louis Leterrier,"Edward Ricourt, Boaz Yakin, Ed Solomon",4.5,Yes,4.5,4.5,4
Parinda,1989,"Action, Crime, Drama",,"Vidhu Vinod Chopra, Shivkumar Subramaniam",5,Yes,5,5,5
Salaam Bombay!,1988,"Crime, Drama",Mira Nair,"Mira Nair, Sooni Taraporevala",5,Yes,5,5,5
Munna Bhai M.B.B.S.,2003,"Comedy, Drama",,"Rajkumar Hirani, Vidhu Vinod Chopra",4.5,Yes,4.5,4.5,4
Django Unchained,2012,"Drama, Western",Quentin Tarantino,Quentin Tarantino,3.5,No,3.5,3.5,3
The Devil Wears Prada,2006,"Drama, Comedy",,Aline Brosh McKenna,4,Yes,4,4.5,4
The Secret Life of Walter Mitty,2013,"Adventure, Comedy, Drama, Fantasy",Ben Stiller,Steven Conrad,4,Yes,4,4.5,4
No Smoking,2007,"Thriller, Drama",,Anurag Kashyap,5,Yes,5,5,5
Gulaal,2009,"Crime, Drama",Anurag Kashyap,"Raj Singh Chaudhary, Anurag Kashyap, Aparnaa Malhotra, Sanjay Maurya",4,Yes,4,4.5,4
Gangs of Wasseypur ‚Äì Part 1,2012,Not Found,,Not Found,5,Yes,5,5,5
Gangs of Wasseypur ‚Äì Part 2,2012,Not Found,Not Found,Not Found,5,Yes,5,5,5
Dev.D,2009,"Comedy, Drama, Romance",,"Anurag Kashyap, Vikramaditya Motwane",4,Yes,4,4.5,4
Choked: Paisa Bolta Hai,2020,"Drama, Crime, Thriller",Anurag Kashyap,Nihit Bhave,4,Yes,4,4.5,4
The Lunchbox,2013,"Drama, Romance",,Ritesh Batra,5,Yes,5,5,5
Haider,2014,"Crime, Drama",Vishal Bhardwaj,"Vishal Bhardwaj, Basharat Peer",5,Yes,5,5,5
Omkara,2006,,,Unknown,4.5,Yes,4.5,4.5,4
Maqbool,2003,"Crime, Drama",Vishal Bhardwaj,"Vishal Bhardwaj, Abbas Tyrewala",5,Yes,5,5,5
7 Khoon Maaf,2011,"Drama, Mystery, Thriller",,"Matthew Robbins, Vishal Bhardwaj",4.5,Yes,4.5,4.5,4
Kaminey,2009,"Action, Crime, Drama",Vishal Bhardwaj,"Abhishek Chaubey, Sabrina Dhawan, Supratik Sen, Vishal Bhardwaj, Cajetan Boy",3.5,No,3.5,3.5,3
Satya,1998,"Crime, Drama",,"Saurabh Shukla, Anurag Kashyap, Ram Gopal Varma",5,Yes,5,5,5
Talvar,2015,"Thriller, Drama, Mystery",Meghna Gulzar,"Aditya Nimbalkar, Vishal Bhardwaj",3,No,3,3.5,3
Drishyam,2015,"Action, Mystery, Thriller",,Unknown,5,Yes,5,5,5
Drishyam 2,2022,"Thriller, Drama, Mystery",Abhishek Pathak,"Aamil Keyan Khan, Abhishek Pathak, Jeethu Joseph",5,Yes,5,5,5
Madaari,2016,"Thriller, Drama",,"Shailja Kejriwal, Ritesh Shah",5,Yes,5,5,5
Charlie Chopra & the Mystery of Solang Valley,2023,Not Found,Not Found,Not Found,4.5,Yes,4.5,4.5,4
Sarkar,2005,"Crime, Action, Drama",,"Ram Gopal Varma, Manish Gupta",5,Yes,5,5,5
Rakht Charitra 2,2010,"Action, Crime, Drama",Ram Gopal Varma,"Prashant Pandey, Ram Gopal Varma",2.5,No,2.5,2.5,2
Rakht Charitra,2010,"Action, Crime, Drama",,"Prashant Pandey, Ram Gopal Varma",4,Yes,4,4.5,4
Rangeela,1995,,Unknown,Unknown,3,Yes,3,3.5,3
Company,2002,"Action, Adventure, Comedy, Thriller",,"Jason Richman, Gary M. Goodman, David Himmelstein, Michael Browning",4,Yes,4,4.5,4
Sarkar Raj,2008,"Action, Adventure, Crime, Drama",Ram Gopal Varma,Prashant Pandey,3,No,3,3.5,3
Darna Zaroori Hai,2006,"Thriller, Horror",,"Arshad Sayed, Manish Gupta, Ashish Deo, Sajid Khan, Prawaal Raman",4.5,Yes,4.5,4.5,4
Hera Pheri,2000,"Comedy, Crime",Priyadarshan,"Neeraj Vora, Anand S. Vardhan",5,Yes,5,5,5
Phir Hera Pheri,2006,Comedy,,Neeraj Vora,4,Yes,4,4.5,4
Bhool Bhulaiyaa,2007,"Comedy, Horror, Thriller",Priyadarshan,Neeraj Vora,5,Yes,5,5,5
Chup Chup Ke,2006,Comedy,,"Neeraj Vora, Priyadarshan",2.5,Yes,2.5,2.5,2
Bhagam Bhag,2006,,Bhagwan Dada,Unknown,3.5,Yes,3.5,3.5,3
Hungama,2003,Comedy,,S.V. Krishna Reddy,3.5,Yes,3.5,3.5,3
Fukrey Returns,2017,"Comedy, Drama",Mrighdeep Singh Lamba,"Vipul Vig, Reema Kagti, Mrighdeep Singh Lamba, Neeraj Vora",3,No,3,3.5,3
Awara Paagal Deewana,2002,"Comedy, Action",,"Mangesh Kulkarni, Anand S. Vardhan, Khalid Azmi",2.5,Yes,2.5,2.5,2
Golmaal Again,2017,"Comedy, Horror, Action, Fantasy",Rohit Shetty,"Yunus Sajawal, Rohit Shetty, Neeraj Vora",0.5,No,0.5,0.5,0
Hulchul,2004,"Comedy, Romance, Action",,Neeraj Vora,2.5,Yes,2.5,2.5,2
Welcome Back,2015,"Action, Comedy",Anees Bazmee,"Rajeev Kaul, Anees Bazmee, Rajan Aggarwal",3.5,Yes,3.5,3.5,3
Welcome,2007,"Comedy, Crime, Family",,"Anees Bazmee, Rajeev Kaul",5,Yes,5,5,5
Chennai Express,2013,"Romance, Comedy, Action",Rohit Shetty,"Yunus Sajawal, Robin Bhatt, K. Subash",3,No,3,3.5,3
Bhool Bhulaiyaa 2,2022,"Horror, Comedy",,"Aakash Kaushik, Anees Bazmee, Farhad Samji",2,No,2,2.5,2
All the Best: Fun Begins,2009,"Action, Comedy, Music",Rohit Shetty,"Farhad Samji, Sajid Samji",3.5,Yes,3.5,3.5,3
Andaz Apna Apna,1994,"Comedy, Romance, Family",,Rajkumar Santoshi,5,Yes,5,5,5
Ready,2011,"Horror, Comedy",Tyler Gillett,"Guy Busick, R. Christopher Murphy",2.5,No,2.5,2.5,2
Yamla Pagla Deewana,2011,"Music, Action, Comedy, Drama, Romance",,Jasvinder Singh Bath,4.5,Yes,4.5,4.5,4
Golmaal 3,2010,"Comedy, Family",Rohit Shetty,"Yunus Sajawal, Robin Bhatt, Farhad Samji, Sajid Samji",2.5,No,2.5,2.5,2
Happy New Year,2014,"Action, Comedy, Crime, Adventure",,"Althea Kaushal, Farah Khan, Mayur Puri",1,No,1,1.5,1
Bol Bachchan,2012,"Comedy, Action",Rohit Shetty,"Yunus Sajawal, Farhad Samji, Sajid Samji",3,Yes,3,3.5,3
Son of Sardaar,2012,"Action, Comedy, Romance",,"Ashwni Dhir, Robin Bhatt, Ashwani Dheer",2,No,2,2.5,2
Housefull,2010,"Comedy, Romance",Sajid Khan,"Sajid Khan, Sajid Nadiadwala, Vibha Singh, Milap Zaveri",4.5,Yes,4.5,4.5,4
